"samp_size","model","dim","num_bs_samples","nrm_typ","test_type","proc_type","xcor","rej_conf","ub","lb","min_pval","max_pval","rej_rate"
500,4,100,300,"max","DE3JN","mag",0.5,"0.534 (0.5201, 0.5479)",0.5479,0.5201,0,0.996,0.534
500,4,100,300,"ssq","DE3JN","mag",0.5,"0.638 (0.6245, 0.6514)",0.6514,0.6245,0,1,0.638
500,4,50,300,"bonf","DE3JN","mag",0.5,"0.4426 (0.4288, 0.4565)",0.4565,0.4288,2.80775591665616e-07,9.32020168162206,0.4426
500,4,50,300,"l2","DE3JN","mag",0.5,"0.6286 (0.615, 0.642)",0.642,0.615,0,1,0.6286
500,4,50,300,"lp","DE3JN","mag",0.5,"0.628 (0.6144, 0.6414)",0.6414,0.6144,0,0.996,0.628
500,4,50,300,"max","DE3JN","mag",0.5,"0.5194 (0.5054, 0.5333)",0.5333,0.5054,0,1,0.5194
500,4,50,300,"ssq","DE3JN","mag",0.5,"0.6258 (0.6122, 0.6392)",0.6392,0.6122,0,0.996,0.6258
100,1,10,300,"cauchy","DE3JN","mag",0.5,"0.0667 (0.0596, 0.0743)",0.0743,0.0596,0.000868513173018615,0.99952684519973,0.0667
100,1,100,300,"cauchy","DE3JN","mag",0.5,"0.0746 (0.0675, 0.0822)",0.0822,0.0675,0.00023329237611569,0.999968781127822,0.0746
100,1,50,300,"cauchy","DE3JN","mag",0.5,"0.0742 (0.0671, 0.0818)",0.0818,0.0671,0.000458480049498888,0.999991652350865,0.0742
100,2,10,300,"cauchy","DE3JN","mag",0.5,"0.4418 (0.428, 0.4557)",0.4557,0.428,4.24973943258244e-07,0.999382477122953,0.4418
100,2,100,300,"cauchy","DE3JN","mag",0.5,"0.3884 (0.3749, 0.4021)",0.4021,0.3749,1.15190381566599e-06,0.99954161713969,0.3884
100,2,50,300,"cauchy","DE3JN","mag",0.5,"0.405 (0.3914, 0.4188)",0.4188,0.3914,2.6880824524067e-06,0.999632755238236,0.405
100,3,10,300,"cauchy","DE3JN","mag",0.5,"0.172 (0.1616, 0.1828)",0.1828,0.1616,2.17335324826928e-05,0.99976306685409,0.172
100,3,100,300,"cauchy","DE3JN","mag",0.5,"0.1008 (0.0926, 0.1095)",0.1095,0.0926,0.000289098152991718,0.999984325369115,0.1008
100,3,50,300,"cauchy","DE3JN","mag",0.5,"0.101 (0.0928, 0.1097)",0.1097,0.0928,3.49285638783225e-05,0.999962008781642,0.101
100,4,10,300,"cauchy","DE3JN","mag",0.5,"0.184 (0.1733, 0.195)",0.195,0.1733,5.83607603762415e-05,0.9992239649146,0.184
