samp_size,model,dim,num_bs_samples,nrm_typ,test_type,proc_type,xcor,rej_conf,ub,lb,min_pval,max_pval,rej_rate
200,1,10,250,cauchy,pearson,mag,0,"0.0751 (0.068, 0.0828)",0.0828,0.068,3.38E-05,0.999890068,0.0751
200,1,100,250,cauchy,pearson,mag,0.5,"0.1012 (0.093, 0.1098)",0.1098,0.093,1.45E-05,0.999879658,0.1012
200,1,100,250,cauchy,pearson,mag,0.8,"0.0774 (0.0701, 0.0852)",0.0852,0.0701,2.76E-06,0.999835677,0.0774
200,1,100,250,cauchy,pearson,mag,0,"0.1202 (0.1113, 0.1295)",0.1295,0.1113,2.42E-07,0.999951758,0.1202
200,1,50,250,cauchy,pearson,mag,0.5,"0.0956 (0.0876, 0.1041)",0.1041,0.0876,6.86E-05,0.999805869,0.0956
200,1,50,250,cauchy,pearson,mag,0.8,"0.072 (0.065, 0.0795)",0.0795,0.065,4.58E-07,0.99989833,0.072
200,1,50,250,cauchy,pearson,mag,0,"0.1036 (0.0953, 0.1124)",0.1124,0.0953,4.15E-07,0.999714538,0.1036
200,2,10,250,cauchy,pearson,mag,0.5,"0.8602 (0.8503, 0.8697)",0.8697,0.8503,2.33E-15,0.998813527,0.8602
200,2,10,250,cauchy,pearson,mag,0.8,"0.9176 (0.9096, 0.9251)",0.9251,0.9096,1.11E-16,0.985245422,0.9176
200,2,10,250,cauchy,pearson,mag,0,"0.8002 (0.7889, 0.8112)",0.8112,0.7889,2.22E-16,0.999812267,0.8002
200,2,100,250,cauchy,pearson,mag,0.5,"0.8242 (0.8134, 0.8347)",0.8347,0.8134,2.00E-15,0.999972164,0.8242
200,2,100,250,cauchy,pearson,mag,0.8,"0.9084 (0.9001, 0.9163)",0.9163,0.9001,6.66E-16,0.980917829,0.9084
200,2,100,250,cauchy,pearson,mag,0,"0.6232 (0.6096, 0.6367)",0.6367,0.6096,2.00E-15,0.999499879,0.6232
200,2,50,250,cauchy,pearson,mag,0.5,"0.8324 (0.8218, 0.8427)",0.8427,0.8218,9.99E-16,0.998826641,0.8324
200,2,50,250,cauchy,pearson,mag,0.8,"0.9094 (0.9011, 0.9172)",0.9172,0.9011,1.11E-16,0.999246395,0.9094
200,2,50,250,cauchy,pearson,mag,0,"0.6723 (0.6592, 0.6853)",0.6853,0.6592,9.99E-16,0.999950307,0.6723
200,3,10,250,cauchy,pearson,mag,0.5,"0.8844 (0.8752, 0.8931)",0.8931,0.8752,2.22E-16,0.999934282,0.8844
200,3,10,250,cauchy,pearson,mag,0.8,"0.913 (0.9048, 0.9207)",0.9207,0.9048,2.22E-16,0.988677458,0.913
200,3,10,250,cauchy,pearson,mag,0,"0.922 (0.9142, 0.9293)",0.9293,0.9142,1.83E-10,0.998003555,0.922
